Ano;2014;2015;2016;2017;2018;2019;2020;2021;2022;;;;;;;;;
Receita Líq;5216820;6145198;6451578;7444305;8426541;9588437;7537180;10571566;13271137;;;;;;;;;
Var Receita Liq;;0,177958603;0,049856815;0,153873517;0,131944621;0,137885284;-0,213930279;0,402589032;0,255361505;;;;;;;;;
Lucro Bruto;3050905;3633846;3876495;4499392;5142024;5857916;4313610;6172388;7984814;;;;;;;;;
Total despesas;-2248855;-2700593;-2900805;-3412154;-3718203;-4214262;-3456731;-5358444;-6577413;;;;;;;;;
EBIT;802050;933253;975690;1087238;1423821;1643654;856879;813944;1407401;;;;;;;;;
Mg EBIT;0,153743085;0,151867035;0,151232768;0,146049631;0,16896862;0,171420431;0,113686949;0,076993702;0,106049768;;;;;;;;;
Imposto e taxas;-236755;-249829;-247322;-271458;-350057;-412761;-104492;-6741;-92581;;;;;;;;;
Deprec e Amort;212732;264780;311261;329051;314574;730091;791036;916070;1041025;;;;;;;;;
Capex;-477565;-571312;-477194;-550363;-610407;-751428;-543976;-933963;-1105271;;;;;;;;;
Var Invest. Capex;;0,196302074;-0,164740107;0,153331769;0,109098904;0,231027822;-0,276077016;0,716919496;0,183420542;;;;;;;;;
Capital de Giro;2031;1185;1164;2666;3247;3869;3789;5261;6659;;;;;;;;;
Var Cap Giro;;846;21;-1502;363;-622;80;-1472;-1398;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
